,0
0,quarterly
1,profit
2,at
3,u
4,medium
5,giant
6,timewarner
7,jumped
8,76
9,to
10,113bn
11,£600m
12,for
13,the
14,three
15,month
16,december
17,from
18,639m
19,yearearlier
20,firm
21,which
22,is
23,now
24,one
25,of
26,biggest
27,investor
28,in
29,google
30,benefited
31,sale
32,highspeed
33,internet
34,connection
35,and
36,higher
37,advert
38,said
39,fourth
40,quarter
41,rose
42,2
43,111bn
44,109bn
45,it
46,were
47,buoyed
48,by
49,oneoff
50,gain
51,offset
52,a
53,dip
54,warner
55,bros
56,le
57,user
58,aol
59,time
60,on
61,friday
62,that
63,owns
64,8
65,searchengine
66,but
67,own
68,business
69,had
70,ha
71,mixed
72,fortune
73,lost
74,464000
75,subscriber
76,lower
77,than
78,preceding
79,however
80,company
81,aols
82,underlying
83,before
84,exceptional
85,item
86,back
87,stronger
88,advertising
89,revenue
90,hope
91,increase
92,offering
93,online
94,service
95,free
96,customer
97,will
98,try
99,sign
100,up
101,existing
102,broadband
103,also
104,restate
105,2000
106,2003
107,result
108,following
109,probe
110,security
111,exchange
112,commission
113,sec
114,close
115,concluding
116,slightly
117,better
118,analyst
119,expectation
120,film
121,division
122,saw
123,slump
124,27
125,284m
126,helped
127,boxoffice
128,flop
129,alexander
130,catwoman
131,sharp
132,contrast
133,when
134,third
135,final
136,lord
137,ring
138,trilogy
139,boosted
140,fullyear
141,posted
142,336bn
143,performance
144,while
145,grew
146,64
147,4209bn
148,our
149,financial
150,wa
151,strong
152,meeting
153,or
154,exceeding
155,all
156,objective
157,greatly
158,enhancing
159,flexibility
160,chairman
161,chief
162,executive
163,richard
164,parson
165,2005
166,projecting
167,operating
168,earnings
169,growth
170,around
171,5
172,expects
173,wider
174,margin
175,account
176,part
177,effort
178,resolve
179,an
180,inquiry
181,into
182,market
183,regulator
184,already
185,offered
186,pay
187,300m
188,settle
189,charge
190,deal
191,under
192,review
193,unable
194,estimate
195,amount
196,needed
197,set
198,aside
199,legal
200,reserve
201,previously
202,500m
203,intends
204,adjust
205,way
206,with
207,german
208,music
209,publisher
210,bertelsmanns
211,purchase
212,stake
213,europe
214,reported
215,book
216,loss
217,value
218,dollar
219,hit
220,highest
221,level
222,against
223,euro
224,almost
225,after
226,federal
227,head
228,trade
229,deficit
230,stabilise
231,alan
232,greenspan
233,highlighted
234,government
235,willingness
236,curb
237,spending
238,rising
239,household
240,saving
241,factor
242,may
243,help
244,reduce
245,late
246,trading
247,new
248,york
249,reached
250,12871
251,12974
252,thursday
253,concern
254,about
255,greenback
256,recent
257,mr
258,greenspans
259,speech
260,london
261,ahead
262,g7
263,finance
264,minister
265,sent
266,earlier
267,tumbled
268,worsethanexpected
269,job
270,data
271,i
272,think
273,taking
274,much
275,more
276,sanguine
277,view
278,current
279,he
280,taken
281,some
282,robert
283,sinche
284,currency
285,strategy
286,bank
287,america
288,longerterm
289,laying
290,out
291,condition
292,can
293,improve
294,this
295,year
296,next
297,worry
298,china
299,do
300,remain
301,remains
302,pegged
303,fall
304,have
305,therefore
306,made
307,chinese
308,export
309,price
310,highly
311,competitive
312,call
313,shift
314,beijing
315,policy
316,fallen
317,deaf
318,ear
319,despite
320,comment
321,major
322,newspaper
323,ripe
324,loosening
325,peg
326,thought
327,unlikely
328,produce
329,any
330,meaningful
331,movement
332,meantime
333,decision
334,february
335,boost
336,interest
337,rate
338,point
339,sixth
340,such
341,move
342,many
343,opened
344,differential
345,european
346,halfpoint
347,window
348,believe
349,could
350,be
351,enough
352,keep
353,asset
354,looking
355,attractive
356,prop
357,partly
358,been
359,big
360,budget
361,well
362,us
363,yawning
364,gap
365,both
366,need
367,funded
368,buying
369,bond
370,foreign
371,white
372,house
373,announce
374,monday
375,commentator
376,half
377,trillion
378,owner
379,embattled
380,russian
381,oil
382,yukos
383,are
384,ask
385,buyer
386,former
387,production
388,unit
389,900m
390,£479m
391,loan
392,stateowned
393,rosneft
394,bought
395,yugansk
396,93bn
397,forced
398,russia
399,275bn
400,tax
401,claim
402,menatep
403,group
404,say
405,repay
406,secured
407,face
408,similar
409,540m
410,repayment
411,demand
412,expert
413,rosnefts
414,would
415,include
416,obligation
417,pledged
418,so
419,real
420,money
421,creditor
422,avoid
423,seizure
424,moscowbased
425,lawyer
426,jamie
427,firestone
428,who
429,not
430,connected
431,case
432,managing
433,director
434,tim
435,osborne
436,told
437,reuters
438,news
439,agency
440,if
441,they
442,default
443,we
444,fight
445,them
446,where
447,rule
448,law
449,exists
450,international
451,arbitration
452,clause
453,credit
454,official
455,unavailable
456,take
457,action
458,recover
459,debt
460,owed
461,filed
462,bankruptcy
463,protection
464,court
465,attempt
466,prevent
467,main
468,arm
469,went
470,sold
471,littleknown
472,shell
473,turn
474,downfall
475,punishment
476,political
477,ambition
478,founder
479,mikhail
480,khodorkovsky
481,vowed
482,sue
483,participant
484,british
485,airway
486,blamed
487,high
488,fuel
489,40
490,drop
491,reporting
492,31
493,2004
494,airline
495,pretax
496,£75m
497,141m
498,compared
499,£125m
500,rod
501,eddington
502,ba
503,respectable
504,cost
505,£106m
506,473
507,still
508,£59m
509,rise
510,increased
511,aviation
512,last
513,introduced
514,surcharge
515,passenger
516,october
517,£6
518,£10
519,oneway
520,longhaul
521,flight
522,shorthaul
523,raised
524,£250
525,£4
526,leg
527,yet
528,mike
529,powell
530,dresdner
531,kleinwort
532,wasserstein
533,estimated
534,annual
535,£160m
536,short
537,additional
538,predicted
539,extra
540,£250m
541,turnover
542,43
543,£197bn
544,further
545,benefiting
546,cargo
547,full
548,march
549,warned
550,yield
551,average
552,per
553,expected
554,decline
555,continues
556,competition
557,lowcost
558,carrier
559,forecast
560,total
561,outlook
562,previous
563,guidance
564,3
565,35
566,improvement
567,anticipated
568,martin
569,broughton
570,number
571,81
572,january
573,nick
574,van
575,den
576,brul
577,bnp
578,paribas
579,described
580,latest
581,pretty
582,modest
583,quite
584,good
585,side
586,show
587,impact
588,positive
589,development
590,down
591,very
592,since
593,11
594,september
595,2001
596,attack
597,united
598,state
599,cut
600,13000
601,costcutting
602,drive
603,focus
604,reducing
605,controllable
606,whilst
607,continuing
608,invest
609,product
610,example
611,delivery
612,six
613,airbus
614,a321
615,aircraft
616,start
617,club
618,world
619,flat
620,bed
621,share
622,closed
623,four
624,penny
625,2745
626,uk
627,drink
628,food
629,allied
630,domecq
631,risen
632,speculation
633,target
634,takeover
635,france
636,pernod
637,ricard
638,report
639,wall
640,street
641,journal
642,suggested
643,french
644,spirit
645,considering
646,bid
647,contact
648,4
649,1200
650,gmt
651,paris
652,slipped
653,12
654,seeking
655,acquisition
656,refused
657,specific
658,seagram
659,propelled
660,global
661,top
662,other
663,twothirds
664,leader
665,diageo
666,term
667,75bn
668,97bn
669,9
670,smaller
671,capitalisation
672,£57bn
673,107bn
674,82bn
675,tried
676,buy
677,glenmorangie
678,scotland
679,premier
680,whisky
681,luxury
682,lvmh
683,home
684,brand
685,including
686,chivas
687,regal
688,scotch
689,havana
690,rum
691,jacob
692,creek
693,wine
694,domecqs
695,name
696,malibu
697,courvoisier
698,brandy
699,stolichnaya
700,vodka
701,ballantines
702,snack
703,chain
704,dunkin
705,donut
706,baskinrobbins
707,ice
708,cream
709,wsj
710,two
711,consolidation
712,having
713,each
714,dealt
715,problematic
716,their
717,portfolio
718,reduced
719,took
720,fund
721,just
722,18bn
723,improved
724,fastfood
725,japan
726,economy
727,teetered
728,brink
729,technical
730,recession
731,figure
732,revised
733,indicated
734,01
735,similarsized
736,contraction
737,basis
738,suggests
739,02
740,suggesting
741,hesitant
742,recovery
743,common
744,definition
745,successive
746,negative
747,keen
748,play
749,worrying
750,implication
751,maintain
752,minor
753,adjustment
754,phase
755,upward
756,climb
757,monitor
758,carefully
759,heizo
760,takenaka
761,strengthening
762,yen
763,making
764,indication
765,weakening
766,economic
767,observer
768,painting
769,picture
770,patchier
771,paul
772,sheard
773,economist
774,lehman
775,brother
776,tokyo
777,apparently
778,feed
779,through
780,domestic
781,private
782,consumption
783,created
784,fewer
785,jobseekers
786,pushed
787,unemployment
